#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090205 144835.507;32;;;;;Effondrement;0;0;WGS84;PHK
20090205 151654.971;5;;;;;Sommital;0;0;WGS84;PHK
20090205 155254.542;7;;;;;Sommital;0;0;WGS84;PHK
20090205 163320.0;10;;;;;Sommital;0;0;WGS84;PHK
20090205 175746.397;151;;;;;Effondrement;0;0;WGS84;PHK
20090205 181504.775;74;;;;;Effondrement;0;0;WGS84;PHK
20090205 213656.605;131;;;;;Effondrement;0;0;WGS84;PHK
20090206 002406.114;4;;;;;Sommital;0;0;WGS84;PHK
20090206 051226.571;2;;;;;Sommital;0;0;WGS84;PHK
20090206 062238.85;4;;;;;Sommital;0;0;WGS84;PHK
20090206 070233.114;8;;;;;Sommital;0;0;WGS84;PHK
20090206 082904.199;9;;;;;Sommital;0;0;WGS84;PHK
20090206 093833.685;6;;;;;Sommital;0;0;WGS84;PHK
20090206 121853.468;58;;;;;Effondrement;0;0;WGS84;PHK
20090206 132248.800;3;;;;;Sommital;0;0;WGS84;PHK
20090206 153457.518;47;;;;;Effondrement;0;0;WGS84;PHK
20090206 164714.342;4;;;;;Sommital;0;0;WGS84;PHK
20090206 175522.371;11;;;;;Sommital;0;0;WGS84;PHK
20090206 200259.714;5;;;;;Sommital;0;0;WGS84;PHK
20090206 211407.514;4;;;;;Sommital;0;0;WGS84;PHK
20090207 034910.742;17;;;;;Indetermine;0;0;WGS84;PHK
20090207 045156.199;3;;;;;Sommital;0;0;WGS84;PHK
20090207 055655.714;5;;;;;Sommital;0;0;WGS84;PHK
20090207 103702.857;12;;;;;Sommital;0;0;WGS84;PHK
20090207 120145.96;119;;;;;Effondrement;0;0;WGS84;PHK
20090207 135003.600;20;;;;;Sommital;0;0;WGS84;PHK
20090207 153439.942;6;;;;;Sommital;0;0;WGS84;PHK
20090207 174116.800;5;;;;;Sommital;0;0;WGS84;PHK
20090207 185111.399;9;;;;;Sommital;0;0;WGS84;PHK
20090207 190128.885;8;;;;;Sommital;0;0;WGS84;PHK
20090207 204225.514;6;;;;;Sommital;0;0;WGS84;PHK
20090207 221048.114;17;;;;;Effondrement;0;0;WGS84;PHK
20090207 222743.514;9;;;;;Sommital;0;0;WGS84;PHK
20090208 022932.857;24;;;;;Sommital;0;0;WGS84;PHK
20090208 023102.885;19;;;;;Effondrement;0;0;WGS84;PHK
20090208 071720.857;17;;;;;Sommital;0;0;WGS84;PHK
20090208 083939.257;8;;;;;Sommital;0;0;WGS84;PHK
20090208 110411.800;16;;;;;Effondrement;0;0;WGS84;PHK
20090208 121823.399;4;;;;;Effondrement;0;0;WGS84;PHK
20090208 143039.600;8;;;;;Sommital;0;0;WGS84;PHK
20090208 150528.657;9;;;;;Sommital;0;0;WGS84;PHK
20090208 163450.228;6;;;;;Sommital;0;0;WGS84;PHK
20090208 175937.199;3;;;;;Effondrement;0;0;WGS84;PHK
20090208 185028.285;3;;;;;Sommital;0;0;WGS84;PHK
20090208 211612.9;34;;;;;Effondrement;0;0;WGS84;PHK
20090208 212517.555;34;;;;;Effondrement;0;0;WGS84;PHK
20090208 212638.998;15;;;;;Effondrement;0;0;WGS84;PHK
20090208 212718.782;18;;;;;Effondrement;0;0;WGS84;PHK
20090208 212810.69;22;;;;;Effondrement;0;0;WGS84;PHK
20090208 212845.18;35;;;;;Effondrement;0;0;WGS84;PHK
20090208 214150.428;3;;;;;Sommital;0;0;WGS84;PHK
20090208 220917.146;51;;;;;Effondrement;0;0;WGS84;PHK
20090208 225437.981;44;;;;;Effondrement;0;0;WGS84;PHK
20090208 230217.42;28;;;;;Effondrement;0;0;WGS84;PHK
20090208 234614.199;5;;;;;Sommital;0;0;WGS84;PHK
20090209 045442.830;41;;;;;Effondrement;0;0;WGS84;PHK
20090209 052452.0;4;;;;;Sommital;0;0;WGS84;PHK
20090209 052939.0;5;;;;;Sommital;0;0;WGS84;PHK
20090209 060027.594;89;;;;;Effondrement;0;0;WGS84;PHK
20090209 060930.310;60;;;;;Effondrement;0;0;WGS84;PHK
20090209 061735.657;6;;;;;Sommital;0;0;WGS84;PHK
20090209 061834.114;3;;;;;Sommital;0;0;WGS84;PHK
20090209 061945.828;8;;;;;Sommital;0;0;WGS84;PHK
20090209 104010.657;8;;;;;Effondrement;0;0;WGS84;PHK
20090209 104016.571;15;;;;;Sommital;0;0;WGS84;PHK
20090209 105453.63;82;;;;;Effondrement;0;0;WGS84;PHK
20090209 105955.719;59;;;;;Effondrement;0;0;WGS84;PHK
20090209 110115.114;4;;;;;Sommital;0;0;WGS84;PHK
20090209 113449.142;42;;;;;Sommital;0;0;WGS84;PHK
20090209 121034.857;8;;;;;Sommital;0;0;WGS84;PHK
20090209 132907.457;7;;;;;Sommital;0;0;WGS84;PHK
20090209 165710.600;5;;;;;Effondrement;0;0;WGS84;PHK
20090209 170130.692;99;;;;;Effondrement;0;0;WGS84;PHK
20090209 172914.942;3;;;;;Effondrement;0;0;WGS84;PHK
20090209 172929.600;4;;;;;Effondrement;0;0;WGS84;PHK
20090209 185943.514;5;;;;;Sommital;0;0;WGS84;PHK
20090209 185956.0;3;;;;;Effondrement;0;0;WGS84;PHK
20090209 190018.485;6;;;;;Sommital;0;0;WGS84;PHK
20090209 202552.605;69;;;;;Effondrement;0;0;WGS84;PHK
20090209 202735.758;103;;;;;Effondrement;0;0;WGS84;PHK
20090209 203042.708;70;;;;;Effondrement;0;0;WGS84;PHK
20090209 204122.463;104;;;;;Effondrement;0;0;WGS84;PHK
20090209 205206.199;7;;;;;Sommital;0;0;WGS84;PHK
20090209 205757.371;5;;;;;Sommital;0;0;WGS84;PHK
20090209 205810.314;7;;;;;Sommital;0;0;WGS84;PHK
20090209 210627.228;4;;;;;Effondrement;0;0;WGS84;PHK
20090209 214417.685;5;;;;;Sommital;0;0;WGS84;PHK
20090209 234222.542;7;;;;;Sommital;0;0;WGS84;PHK
20090210 003356.685;5;;;;;Sommital;0;0;WGS84;THS
20090210 034557.942;3;;;;;Sommital;0;0;WGS84;THS
20090210 040753.885;5;;;;;Sommital;0;0;WGS84;THS
20090210 040800.114;3;;;;;Sommital;0;0;WGS84;THS
20090210 042332.542;4;;;;;Sommital;0;0;WGS84;THS
20090210 043532.800;9;;;;;Sommital;0;0;WGS84;THS
20090210 043649.942;5;;;;;Sommital;0;0;WGS84;THS
20090210 074743.171;5;;;;;Sommital;0;0;WGS84;THS
20090210 084323.571;6;;;;;Sommital;0;0;WGS84;THS
20090210 090604.485;4;;;;;Sommital;0;0;WGS84;THS
20090210 092101.217;96;;;;;Effondrement;0;0;WGS84;THS
20090210 110134.457;4;;;;;Sommital;0;0;WGS84;THS
20090210 123317.685;3;;;;;Sommital;0;0;WGS84;THS
20090210 130453.644;33;;;;;Effondrement;0;0;WGS84;THS
20090210 130756.217;95;;;;;Effondrement;0;0;WGS84;THS
20090210 140522.571;17;;;;;Sommital;0;0;WGS84;THS
20090210 141234.342;6;;;;;Sommital;0;0;WGS84;THS
20090210 145148.971;7;;;;;Sommital;0;0;WGS84;THS
20090210 154314.257;5;;;;;Sommital;0;0;WGS84;THS
20090210 154515.857;11;;;;;Indetermine;0;0;WGS84;THS
20090210 154733.971;6;;;;;Sommital;0;0;WGS84;THS
20090210 154750.0;4;;;;;Sommital;0;0;WGS84;THS
20090210 161309.399;7;;;;;Sommital;0;0;WGS84;THS
20090210 162028.649;47;;;;;Effondrement;0;0;WGS84;THS
