NOM,LATITUDE,LONGITUDE,ELEV,NET,DATEDEB,HDEB,DATEFIN,HFIN
LSPF,42.948,1.904,0.45,OMPT,1991/06/13,04:03:58.0,1999/09/26,05:39:13.0
TRGS,42.502,1.967,1.7,OMPT,1991/06/13,04:04:01.0,1999/09/26,05:39:05.0
OG01,46.331,6.683,1.04,GRN,1991/10/25,18:49:28.0,2009/12/31,10:49:59.0
HOFF,48.942,7.964,0.15,STR,1991/11/20,01:54:58.0,2003/07/14,06:50:54.0
SRBF,48.914,7.852,0.2,STR,1991/11/20,01:54:59.0,2009/06/26,14:43:18.0
LANF,48.981,7.805,0.5,STR,1991/11/20,01:54:59.0,2009/12/26,06:50:58.0
PAND,42.523,1.547,1.857,OMPT,1991/12/02,02:36:39.0,2009/12/15,12:53:09.0
USIL,43.417,-0.638,0.095,STR,1992/02/03,08:16:09.0,1997/12/06,20:33:02.0
OG05,46.04,5.458,0.4,GRN,1992/05/08,07:52:13.0,2008/03/27,06:43:11.0
MENF,50.558,2.155,0.1,STR,1992/08/26,23:41:30.0,2009/12/26,06:51:04.0
OCF,44.578,5.302,0.84,GRN,1992/09/13,05:01:08.0,2009/05/05,01:40:31.0
GM00,45.738,2.004,0.8,LDGS,1993/08/10,10:43:20.0,1996/03/30,02:56:26.0
ASGF,43.034,0.348,0.53,LDGS,1993/10/19,11:50:58.0,1993/10/19,11:50:58.0
THEF,48.228,5.994,0.469,STR,1994/03/31,09:42:31.0,2009/12/31,10:50:51.0
OLEF,45.944,-1.349,0.003,CFF,1995/02/12,15:32:40.0,2007/01/08,11:37:26.0
LRYF,46.579,-1.547,0.067,CFF,1996/01/17,14:33:28.0,2006/11/17,18:21:00.0
LCHF,46.669,-0.748,0.166,CFF,1996/01/17,14:33:30.0,2009/12/24,22:54:37.0
SJPF,43.113,-1.225,0.45,LDG,1996/04/04,05:58:35.0,2009/12/31,05:36:18.0
REYF,43.07,-0.393,0.77,OMPT,1997/06/05,20:58:56.0,2009/12/30,23:35:37.0
VIEF,42.884,0.024,1,OMPT,1997/06/05,20:58:50.0,2009/12/30,23:35:34.0
STGS,46.533,6.25,0,LDGS,1998/01/05,04:48:37.0,2001/11/22,16:00:34.0
MELF,42.873,0.759,0.94,OMPT,1998/01/06,03:10:02.0,2009/12/30,19:58:30.0
LARF,43.038,-0.987,0.67,STR,1998/01/11,13:42:57.0,2009/12/28,22:37:05.0
ORDF,43.213,-0.936,0.27,OMPT,1998/01/11,13:43:05.0,2009/12/28,22:37:07.0
LABF,43.047,0.074,0.75,OMPT,1998/01/11,13:42:49.0,2009/12/30,23:35:32.0
OSSF,43.256,-1.262,0.24,OMPT,1998/01/12,19:31:27.0,2009/12/28,22:37:12.0
MATF,45.831,-0.288,0.03,CFF,1998/01/24,19:20:05.0,2007/08/30,06:56:33.0
FDAF,42.819,-0.567,1.23,OMPT,1998/05/20,10:30:54.0,2009/11/07,19:29:58.0
FILF,42.56,2.418,0.85,OMPT,1998/07/10,09:45:31.0,2009/12/08,20:23:40.0
CARF,42.716,2.105,1.22,STR,1998/07/22,18:00:48.0,2009/12/09,10:01:10.0
RESF,42.807,0.338,1.27,STR,1998/09/04,17:22:45.0,2009/12/28,21:13:38.0
LPEF,42.948,1.907,0.44,OMPT,1998/10/23,09:09:45.0,2009/11/27,08:54:12.0
VALF,42.402,2.017,1.58,OMPT,1998/10/23,21:46:43.0,2009/12/28,21:13:50.0
SJAF,42.484,2.882,0.45,STR,1998/11/28,13:32:48.0,2009/12/30,13:03:50.0
RENF,48.001,-1.667,0.04,STR,1999/03/20,03:02:27.0,2009/12/21,21:03:48.0
SMRF,43.976,5.575,0.654,LDG,2000/10/25,07:28:58.0,2009/12/31,10:50:49.0
